bay_id,st_marker_id,status,location,lat,lon
5137,9950N,Unoccupied,"(-37.82591473699894, 144.96740310224476)",-37.82591473699894,144.96740310224476
5064,9841S,Unoccupied,"(-37.8253202292222, 144.96979032702333)",-37.8253202292222,144.96979032702333
6583,13862N,Unoccupied,"(-37.81239846012578, 144.94098066386897)",-37.81239846012578,144.94098066386897
5037,9513S,Present,"(-37.82844808945997, 144.9663469776632)",-37.82844808945997,144.9663469776632
5032,9508N,Unoccupied,"(-37.82839890113054, 144.9665412828054)",-37.82839890113054,144.9665412828054
2368,3105S,Unoccupied,"(-37.81365938798581, 144.95785706217947)",-37.81365938798581,144.95785706217947
4809,9138N,Unoccupied,"(-37.83025021601415, 144.96986798925036)",-37.83025021601415,144.96986798925036
6061,13044N,Present,"(-37.82109504413756, 144.94359313381324)",-37.82109504413756,144.94359313381324
2751,4588E,Present,"(-37.807509083041744, 144.9659015100363)",-37.807509083041744,144.9659015100363
5128,9941S,Present,"(-37.8260066266036, 144.96743791676784)",-37.8260066266036,144.96743791676784
618,75W,Unoccupied,"(-37.809965177398475, 144.97227394948206)",-37.809965177398475,144.97227394948206
6892,14231W,Present,"(-37.79558350805505, 144.96473230587634)",-37.79558350805505,144.96473230587634
2702,10332E,Unoccupied,"(-37.80323724450006, 144.94399118988997)",-37.80323724450006,144.94399118988997
2318,2861S,Present,"(-37.81080964501693, 144.967633211193)",-37.81080964501693,144.967633211193
878,779W,Present,"(-37.81216666269123, 144.96768232456384)",-37.81216666269123,144.96768232456384
624,82E,Present,"(-37.808951300616954, 144.9720555618021)",-37.808951300616954,144.9720555618021
5143,9956N,Present,"(-37.8259368709875, 144.96732739299202)",-37.8259368709875,144.96732739299202
5317,7821W,Unoccupied,"(-37.829235341352806, 144.97103730768947)",-37.829235341352806,144.97103730768947
2170,3832N,Present,"(-37.810759842187935, 144.95961476064505)",-37.810759842187935,144.95961476064505
1058,998E,Unoccupied,"(-37.818412521247815, 144.9623924370623)",-37.818412521247815,144.9623924370623
6834,14028E,Present,"(-37.79696749144603, 144.95810654581453)",-37.79696749144603,144.95810654581453
5804,12536N,Unoccupied,"(-37.8157464614875, 144.98034187475793)",-37.8157464614875,144.98034187475793
1962,3342N,Present,"(-37.80893272581448, 144.96980163830924)",-37.80893272581448,144.96980163830924
2376,3182N,Unoccupied,"(-37.81390241659672, 144.95632422229693)",-37.81390241659672,144.95632422229693
3418,6267S,Present,"(-37.807762829410166, 144.96612510396102)",-37.807762829410166,144.96612510396102
3416,6265S,Present,"(-37.80775320631275, 144.96615764256336)",-37.80775320631275,144.96615764256336
5457,11868E,Unoccupied,"(-37.810949951651835, 144.97825530659912)",-37.810949951651835,144.97825530659912
6037,13085S,Present,"(-37.821119165074585, 144.94295135097482)",-37.821119165074585,144.94295135097482
7966,15020E,Unoccupied,"(-37.81749471348834, 144.9819974921765)",-37.81749471348834,144.9819974921765
6833,14026E,Present,"(-37.797022134157025, 144.95810110871173)",-37.797022134157025,144.95810110871173
2650,10141W,Unoccupied,"(-37.80250501262054, 144.94809301745207)",-37.80250501262054,144.94809301745207
5322,7831W,Unoccupied,"(-37.82799583047071, 144.97110986702245)",-37.82799583047071,144.97110986702245
5311,7809W,Unoccupied,"(-37.82956030917069, 144.9710350647198)",-37.82956030917069,144.9710350647198
4698,8644E,Unoccupied,"(-37.82559791790203, 144.96264308554703)",-37.82559791790203,144.96264308554703
1875,2608N,Unoccupied,"(-37.814940175564814, 144.9568258373888)",-37.814940175564814,144.9568258373888
5034,9510N,Present,"(-37.828386254726624, 144.96647472925812)",-37.828386254726624,144.96647472925812
5344,8299W,Present,"(-37.82608979196804, 144.96785806130623)",-37.82608979196804,144.96785806130623
2018,3464N,Unoccupied,"(-37.812109330290355, 144.95895951200083)",-37.812109330290355,144.95895951200083
641,C108,Present,"(-37.808849266868094, 144.97188619569778)",-37.808849266868094,144.97188619569778
5117,9926N,Present,"(-37.825618079578746, 144.96840149568447)",-37.825618079578746,144.96840149568447
5118,9928N,Unoccupied,"(-37.82562669920827, 144.968373983652)",-37.82562669920827,144.968373983652
5111,9914N,Present,"(-37.82556987763478, 144.9685670312634)",-37.82556987763478,144.9685670312634
5114,9920N,Unoccupied,"(-37.82559389862962, 144.96848395712462)",-37.82559389862962,144.96848395712462
5148,9966N,Present,"(-37.825974060786066, 144.9671995472906)",-37.825974060786066,144.9671995472906
4958,9387S,Unoccupied,"(-37.82981475902975, 144.96745402681853)",-37.82981475902975,144.96745402681853
5116,9924N,Unoccupied,"(-37.82560993632516, 144.96842939666948)",-37.82560993632516,144.96842939666948
5109,9910N,Unoccupied,"(-37.82555380547966, 144.9686219839342)",-37.82555380547966,144.9686219839342
5042,9521S,Unoccupied,"(-37.82842325757538, 144.9662156631596)",-37.82842325757538,144.9662156631596
4804,9128N,Unoccupied,"(-37.830173899417005, 144.97014075218613)",-37.830173899417005,144.97014075218613
5110,9912N,Present,"(-37.82556179815477, 144.96859413337526)",-37.82556179815477,144.96859413337526
5107,9906N,Unoccupied,"(-37.825537592433335, 144.96867719826153)",-37.825537592433335,144.96867719826153
5372,11718E,Unoccupied,"(-37.810080643719395, 144.9729594589469)",-37.810080643719395,144.9729594589469
737,626E,Unoccupied,"(-37.808426401149944, 144.96901530504044)",-37.808426401149944,144.96901530504044
